any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
2002,9,2002-09,5.1,4.8,-15.0,15.4,5.3
2002,10,2002-10,3.7,4.7,-16.3,15.8,5.3
2002,11,2002-11,4.5,5.4,-15.5,15.0,7.6
2002,12,2002-12,-1.4,-0.7,-25.6,9.1,-2.4
2003,1,2003-01,-0.8,-1.2,-26.3,11.0,-1.4
2003,2,2003-02,-0.1,0.9,-25.1,11.0,-2.6
2003,3,2003-03,-0.6,1.9,-23.7,11.3,-5.0
2003,4,2003-04,1.3,4.4,-18.4,12.2,-1.3
2003,5,2003-05,2.7,3.9,-19.8,13.1,3.9
2003,6,2003-06,3.8,4.5,-14.6,14.8,4.7
2003,7,2003-07,2.8,4.2,-19.1,13.3,3.1
2003,8,2003-08,3.8,4.1,-18.0,14.5,6.1
2003,9,2003-09,4.6,5.8,-14.2,15.9,7.7
2003,10,2003-10,2.3,0.8,-18.9,13.0,5.2
2003,11,2003-11,3.9,2.3,-16.9,14.4,8.0
2003,12,2003-12,3.6,4.5,-14.5,12.5,6.0
2004,1,2004-01,2.8,2.8,-17.3,13.5,4.1
2004,2,2004-02,3.5,3.0,-12.2,13.0,7.3
2004,3,2004-03,3.5,4.4,-13.8,12.8,7.0
2004,4,2004-04,4.7,6.0,-11.3,14.3,10.8
2004,5,2004-05,4.5,5.0,-13.1,14.0,10.1
2004,6,2004-06,2.1,3.8,-16.8,13.3,5.5
2004,7,2004-07,3.3,2.9,-17.0,13.5,8.4
2004,8,2004-08,1.9,3.0,-19.3,13.3,3.6
2004,9,2004-09,2.0,1.7,-16.8,13.6,5.2
2004,10,2004-10,3.8,5.2,-17.3,15.3,6.6
2004,11,2004-11,3.3,6.2,-16.6,14.3,6.4
2004,12,2004-12,4.0,6.3,-13.2,14.7,8.7
2005,1,2005-01,2.9,3.4,-14.7,13.5,7.9
2005,2,2005-02,2.9,3.2,-14.6,13.9,7.3
2005,3,2005-03,1.8,1.4,-15.9,12.4,5.7
2005,4,2005-04,2.4,4.4,-16.6,12.4,3.4
2005,5,2005-05,2.2,4.6,-15.9,13.3,3.6
2005,6,2005-06,2.2,4.2,-18.4,11.9,2.3
2005,7,2005-07,2.5,4.3,-18.0,14.9,3.6
