municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Huércal de Almería,2025,1234,527.0,2025,18660,28.242229367631296,33.83016512407812
Huércal-Overa,2025,1083,461.0,2025,20860,22.099712368168742,26.517887419269925
Íllar,2025,14,,2025,492,,
Instinción,2025,24,,2025,507,,
Laroya,2025,9,,2025,197,,
Laujar de Andarax,2025,117,47.0,2025,1674,28.076463560334528,
Líjar,2025,14,,2025,378,,
Lubrín,2025,65,27.0,2025,1434,18.82845188284519,
Lucainena de las Torres,2025,26,,2025,722,,
Lúcar,2025,35,,2025,829,,
Macael,2025,402,156.0,2025,5436,28.69757174392936,25.74585860854903
María,2025,65,34.0,2025,1202,28.286189683860233,
Mojácar,2025,825,335.0,2025,7680,43.619791666666664,46.59709479333259
Nacimiento,2025,19,,2025,485,,
Níjar,2025,1460,796.0,2025,33319,23.890272817311445,32.2144972329763
Ohanes,2025,25,,2025,553,,
Olula del Río,2025,478,172.0,2025,6506,26.437134952351673,24.087345764077945
Oria,2025,100,40.0,2025,2219,18.026137899954936,
Padules,2025,18,,2025,438,,
Partaloa,2025,43,,2025,836,,
Paterna del Río,2025,11,,2025,399,,
Pechina,2025,195,87.0,2025,4552,19.112478031634446,
Pulpí,2025,635,260.0,2025,12214,21.287047650237433,21.64929918035825
Purchena,2025,89,30.0,2025,1563,19.193857965451055,
Rágol,2025,9,,2025,297,,
Rioja,2025,66,31.0,2025,1609,19.266625233064016,
Roquetas de Mar,2025,6193,2350.0,2025,111240,21.1254944264653,36.95585510541922
Santa Fe de Mondújar,2025,22,,2025,503,,
Senés,2025,6,,2025,279,,
Serón,2025,110,42.0,2025,2151,19.525801952580196,
Sierro,2025,10,,2025,364,,
Somontín,2025,13,,2025,497,,
Sorbas,2025,179,94.0,2025,2564,36.661466458658346,
Suflí,2025,11,,2025,224,,
Tabernas,2025,214,109.0,2025,3991,27.311450764219494,
Taberno,2025,53,,2025,955,,
Tahal,2025,16,,2025,355,,
Terque,2025,17,,2025,393,,
Tíjola,2025,270,111.0,2025,3573,31.066330814441645,
Turre,2025,275,84.0,2025,4361,19.261637239165328,
Turrillas,2025,5,,2025,256,,
Uleila del Campo,2025,59,,2025,815,,
Urrácal,2025,9,,2025,340,,
Vélez-Blanco,2025,105,58.0,2025,1928,30.08298755186722,
Vélez-Rubio,2025,467,190.0,2025,6685,28.42183994016455,26.84571802980131
Vera,2025,1403,502.0,2025,20282,24.751010748446898,29.86702649842286
Viator,2025,572,274.0,2025,6339,43.22448335699637,44.77419706081105
Vícar,2025,1222,567.0,2025,29342,19.323836139322474,25.093119862868626
Zurgena,2025,143,54.0,2025,3059,17.652827721477607,
"Tres Villas, Las",2025,16,,2025,547,,
"Ejido, El",2025,5162,2232.0,2025,91440,24.409448818897637,40.00027169618281
"Mojonera, La",2025,400,212.0,2025,8793,24.11008756965768,23.14313509776317
Adanero,2025,10,,2025,207,,
"Adrada, La",2025,226,84.0,2025,2853,29.44269190325973,
Albornos,2025,8,,2025,170,,
Aldeanueva de Santa Cruz,2025,4,,2025,100,,
