serie_id,ambit,tipus,branca,indicador,any,mes,data,valor
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,5,2021-05-01,95.384
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,6,2021-06-01,101.028
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,7,2021-07-01,110.467
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,8,2021-08-01,102.16
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,9,2021-09-01,98.882
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,10,2021-10-01,101.509
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,11,2021-11-01,108.388
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2021,12,2021-12-01,122.99
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,1,2022-01-01,100.519
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,2,2022-02-01,87.771
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,3,2022-03-01,103.028
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,4,2022-04-01,104.762
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,5,2022-05-01,107.484
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,6,2022-06-01,111.832
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,7,2022-07-01,117.241
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,8,2022-08-01,115.229
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,9,2022-09-01,108.888
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,10,2022-10-01,110.909
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,11,2022-11-01,113.596
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2022,12,2022-12-01,134.158
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,1,2023-01-01,114.142
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,2,2023-02-01,97.955
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,3,2023-03-01,116.512
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,4,2023-04-01,115.55
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,5,2023-05-01,121.001
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,6,2023-06-01,122.253
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,7,2023-07-01,131.616
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,8,2023-08-01,124.779
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,9,2023-09-01,121.725
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,10,2023-10-01,120.592
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,11,2023-11-01,126.527
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2023,12,2023-12-01,146.037
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,1,2024-01-01,122.755
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,2,2024-02-01,109.718
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,3,2024-03-01,120.927
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,4,2024-04-01,125.402
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,5,2024-05-01,126.732
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,6,2024-06-01,126.994
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,7,2024-07-01,138.525
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,8,2024-08-01,131.852
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,9,2024-09-01,123.84
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,10,2024-10-01,130.406
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,11,2024-11-01,131.876
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2024,12,2024-12-01,152.959
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,1,2025-01-01,128.545
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,2,2025-02-01,112.035
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,3,2025-03-01,126.017
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,4,2025-04-01,129.862
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,5,2025-05-01,136.182
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,6,2025-06-01,135.155
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,7,2025-07-01,145.542
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,8,2025-08-01,136.745
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,9,2025-09-01,134.558
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,10,2025-10-01,137.297
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,11,2025-11-01,139.108
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2025,12,2025-12-01,164.533
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2026,1,2026-01-01,136.945
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2026,2,2026-02-01,117.676
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2026,3,2026-03-01,136.974
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2026,4,2026-04-01,134.877
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2026,5,2026-05-01,139.487
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2026,6,2026-06-01,145.056
